"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"det.tra.v[1,2]",0.07,0.01,0.05,0.06,0.07,0.08,0.09,1,4714
"det.tra.v[2,2]",0.06,0.01,0.04,0.05,0.05,0.07,0.07,1,7964
"det.tra.v[3,2]",0.06,0.01,0.04,0.05,0.06,0.07,0.08,1,9236
"det.tra.v[4,2]",0.05,0.01,0.04,0.04,0.05,0.06,0.07,1,7715
"det.tra.v[5,2]",0.04,0.01,0.03,0.03,0.04,0.05,0.06,1,7121
"det.tra.v[6,2]",0.07,0.01,0.06,0.06,0.07,0.08,0.09,1,8662
"det.tra.v[7,2]",0.06,0.01,0.05,0.05,0.06,0.07,0.08,1,8550
"det.tra.v[8,2]",0.08,0.01,0.07,0.07,0.08,0.1,0.1,1,8603
"det.tra.v[10,2]",0.12,0.02,0.09,0.1,0.12,0.15,0.17,1,14023
"det.tra.v[11,2]",0.09,0.02,0.06,0.07,0.09,0.11,0.13,1,14384
"det.tra.v[12,2]",0.15,0.02,0.11,0.12,0.15,0.18,0.19,1,14395
"det.tra.v[13,2]",0.08,0.01,0.06,0.07,0.08,0.1,0.11,1,14248
"det.tra.v[14,2]",0.12,0.01,0.09,0.1,0.12,0.14,0.15,1,14324
"det.tra.v[1,3]",0.06,0.01,0.04,0.05,0.06,0.07,0.08,1,5096
"det.tra.v[2,3]",0.04,0.01,0.02,0.03,0.04,0.06,0.07,1,3379
"det.tra.v[3,3]",0.06,0.01,0.04,0.05,0.06,0.07,0.08,1,3681
"det.tra.v[4,3]",0.05,0.01,0.04,0.04,0.05,0.07,0.07,1,5602
"det.tra.v[5,3]",0.06,0.01,0.05,0.05,0.06,0.07,0.08,1,5480
"det.tra.v[6,3]",0.07,0.01,0.05,0.06,0.07,0.08,0.09,1,6190
"det.tra.v[7,3]",0.07,0.01,0.05,0.05,0.07,0.08,0.09,1,4884
"det.tra.v[8,3]",0.06,0.01,0.03,0.04,0.06,0.08,0.09,1,4530
"det.tra.v[10,3]",0.09,0.02,0.06,0.07,0.09,0.12,0.13,1,14408
"det.tra.v[11,3]",0.11,0.02,0.08,0.09,0.11,0.14,0.16,1,14238
"det.tra.v[12,3]",0.1,0.02,0.06,0.07,0.1,0.13,0.15,1,13442
"det.tra.v[13,3]",0.1,0.02,0.07,0.08,0.1,0.13,0.15,1,14248
"det.tra.v[14,3]",0.09,0.02,0.06,0.07,0.09,0.11,0.12,1,14258
"det.tra.v[1,4]",0.06,0.01,0.04,0.04,0.06,0.08,0.09,1,4229
"det.tra.v[2,4]",0.05,0.01,0.03,0.04,0.05,0.07,0.08,1,5094
"det.tra.v[3,4]",0.07,0.01,0.05,0.06,0.07,0.09,0.1,1,7571
"det.tra.v[4,4]",0.08,0.01,0.06,0.06,0.08,0.09,0.1,1,10246
"det.tra.v[5,4]",0.07,0.01,0.06,0.06,0.07,0.09,0.09,1,7550
"det.tra.v[6,4]",0.09,0.01,0.07,0.08,0.09,0.1,0.11,1,8845
"det.tra.v[7,4]",0.06,0.01,0.05,0.05,0.06,0.08,0.08,1,7916
"det.tra.v[8,4]",0.08,0.01,0.06,0.07,0.08,0.09,0.1,1,7550
"det.tra.v[10,4]",0.11,0.02,0.07,0.08,0.11,0.14,0.16,1,7585
"det.tra.v[11,4]",0.1,0.02,0.06,0.07,0.1,0.13,0.16,1,10298
